Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
copy-of-philodendron-gloriosum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_180005.jpg?v=1656556350,2,,,,,,,,,,,,,,,,,,,,,,
copy-of-philodendron-gloriosum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_180009.jpg?v=1656556350,3,,,,,,,,,,,,,,,,,,,,,,
copy-of-philodendron-gloriosum,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/8952/1846/products/20220629_180013.jpg?v=1656556350,4,,,,,,,,,,,,,,,,,,,,,,
cactus-mix-by-maya-gm,Cactus mix By Maya GM,"<p style=""text-align: center;""><strong>Specialty growing mediums for Tropical plants and potted plants.</strong></p>
<p style=""text-align: center;""><span data-mce-fragment=""1"">Our Specialty mixes are 100% Peat moss FREE, it has worm castings, bio-char and mycorrhizae to Support Root growth and health.</span></p>
<p style=""text-align: center;""><strong>Perfect and Ready to use Blends. </strong></p>
<p style=""text-align: center;""><span data-mce-fragment=""1""><strong>*General Specialty soil mix*</strong><br data-mce-fragment=""1"">All purpose general mix ideal for plants that enjoy rich nutrient soil and water retention without becoming over saturated.<br data-mce-fragment=""1""><strong>.</strong><br data-mce-fragment=""1""><strong>Plants that enjoy this mix</strong><br> Alocasias, Colocasia, Caladium, Calatheas, Ferns, Palm trees, Ficus varieties, Hoya varieties, ZZ plants, Ceropegia, Dieffenbachia, Peace lily, terrarium plants and more<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong>How do I know if Aroid mix is right for my plant?</strong><br data-mce-fragment=""1""><br data-mce-fragment=""1"">Look for the following keys:<br data-mce-fragment=""1""><br data-mce-fragment=""1"">-Plants that have small shallow and thin roots<br data-mce-fragment=""1"">-Plants that enjoy moist soils, they don't like to fully dry in between waterings<br data-mce-fragment=""1"">-Plants with thin leaves<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong>Benefits of using Maya soil mix</strong><br data-mce-fragment=""1""><br data-mce-fragment=""1"">*Prevent root rot: even thou this mix has a very fine texture, has an excellent water retention without becoming water logged due to its coco based content.<br data-mce-fragment=""1""><br data-mce-fragment=""1""><br data-mce-fragment=""1""></span></p>
<p> </p>",JUSTPLANTS,Home & Garden > Lawn & Garden > Gardening > Sands & Soils > Soil,,New arrivals,false,Size,3L,,,,,,0.0,shopify,deny,manual,12.99,,true,true,'87601846,,,,false,,,,,,,,,,,,,,,,,kg,,,active
cactus-mix-by-maya-gm,,,,,,,,,7.5L,,,,,,0.0,shopify,deny,manual,23.99,,true,true,'87634614,,,,,,,,,,,,,,,,,,,,,kg,,3.00,
marble-queen-pothos,Marble Queen Pothos,"<p>Brighten any corner or shelf with this very easy plant, neon pothos, are fast growing trailing plants.</p>
<p data-mce-fragment=""1"">Botanical name: Epipremnum aureum neon</p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: Low light tolerant plants, a North or East facing window will work <br data-mce-fragment=""1"">Water: every 7 to 12 days allowing the top 2-4 soil to dry in between waterings <br data-mce-fragment=""1"">Toxicity: Toxic to pets if ingested <br data-mce-fragment=""1"">Size: comes in 4 inches and 8 inches Hanging Basket nursery pot</p>",Burnaby Lake greenhouses,,Tropical Plants,"Easy care, Low light, Medium Light High, Medium Light Low, Tropical plant",false,Size,Large,,,,,,0.0,shopify,deny,manual,26.99,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,8.50,draft
marble-queen-pothos,,,,,,,,,Small,,,,,,0.0,shopify,deny,manual,10.99,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,3.75,
philodendron-cordatum,Philodendron Cordatum,"<p data-mce-fragment=""1"">Beautiful heart shape leaf, fast growing plant Aand easy plant to grow!<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">Botanical name: Philodendron cordatum green</p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: indirect light, keep off direct sunlight (Enjoys low light levels)<br data-mce-fragment=""1"">Water: weekly, allowing only the top soil to dry in between waterings <br data-mce-fragment=""1"">Toxicity: Toxic to pets if ingested</p>
<p data-mce-fragment=""1""><br data-mce-fragment=""1"">Sizes<br>Small: comes in a 4 inches nursery pot<br>Medium: comes in a 6 inches hanging basket</p>",JUSTPLANTS,,,"Medium Light High, Medium Light Low, Tropical plant",false,Size,Small (4inches),,,,,"",200.0,shopify,deny,manual,10.99,,true,true,'65573814,,,,false,,,,,,,,,,,,,,,,,kg,,3.75,draft
philodendron-cordatum,,,,,,,,,Medium (6 inches),,,,,"",200.0,shopify,deny,manual,16.99,,true,true,'65606582,,,,,,,,,,,,,,,,,,,,,kg,,6.50,
calathea-beauty-star,Calathea Beauty Star,"<p data-mce-fragment=""1"">Calathea Beauty Star are stunning plants with elegantly striped foliage. Show stealer in any room. <br data-mce-fragment=""1""><br data-mce-fragment=""1"">Calatheas also knows as prayer plants,  are tropical plants that enjoy shady locations and high humidity, most f them are native to the amazon forest in South America,<br data-mce-fragment=""1"">Watch these plants move their leaves at night due to an effect called <span data-mce-fragment=""1"">nyctinastic movement</span></p>
<p data-mce-fragment=""1"">Botanical name: Calathea Beauty Star</p>
<p data-mce-fragment=""1"">Care<br data-mce-fragment=""1"">Light: indirect light, keep off direct sunlight <br data-mce-fragment=""1"">Water: weekly, allowing only the top soil to dry in between waterings <br data-mce-fragment=""1"">Toxicity: Non-toxic to pets<br data-mce-fragment=""1"">Size: comes in a 6 inch nursery pot</p>",JUSTPLANTS,,Tropical Plants,"bd30, Low light, medium Light, Pet friendly",false,Style,"6"" in Nursery pot",,,,,,0.0,shopify,deny,manual,16.99,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,5.88,active
